id,airbnbId,title,imageUrl,airbnbUrl,rating,reviewCount,pricePerNight,city,region,country,latitude,longitude,description,publications,designers,categories,signalSource,confidence,active,indexedAt,updatedAt,bedrooms
150005,16179830,Treehouse Adventure,https://a0.muscache.com/im/pictures/ea0de547-7159-4b94-94d4-5035ceb99c4a.jpg,https://www.airbnb.com/rooms/16179830,4.99,4,,Brea,California,US,33.9157600,-117.9029400,"Looking for an adventure like no other? My treehouse is just a hop, skip, and a slide (yes, there's a slide!) from Disneyland & Knott's Berry Farm. Downtown Brea is a 5 min walk away. It has restaurants, shopping, 12 screen movie theater, Improv, grocery store and more. Two parks are also within 5 min walking distance. You will find excellent dining in both Downtown Brea and Downtown Fullerton (highly recommended). My treehouse is great for couples, adventurers, kids, and furry friends (pets). The space This is a magnificent tree house in my backyard, which I began building for my young son back in 2001. After he grew out of it, through upgrades over the years, it has become what it is today. It sleeps 4 comfortably with a double bed (2), single bed (1), and on top of the sofa (1). It is v",,,"[""treehouse""]",text_match,90,yes,2026-03-26 23:58:43,2026-03-27 13:16:36,
150006,54231601,Magical Treehouse with a view 2BR/1.5Bath,https://a0.muscache.com/im/pictures/miso/Hosting-54231601/original/ecd31ad3-06d8-4c99-acc2-cef8c09512d9.jpeg,https://www.airbnb.com/rooms/54231601,4.97,4,,Los Angeles,California,US,34.1111300,-118.2270500,"Nestled on top of Mt Washington with a panoramic view of SoCal. Minutes from Downtown LA, Dodger stadium, Highland Park, Griffith Park, Pasadena. Home sits a double lot with plenty of privacy and space outdoors. Wake up to birds chirping and make some cappuccino to drink on our redwood decks. Lay back and enjoy the breeze while relaxing on a hammock suspended between two enormous pine trees. We'll have everything you’ll need to unwind and enjoy LA from yoga mats to bikes. HSR22-000099 The space Two story home entering off the street on the top level with the living room, dining room, kitchen and a half bathroom. The lower level consists of two bedrooms. One room containing a queen bed with a dry sauna. The second room contains a full sized Murphy bed which can be closed to make space in th",,,"[""treehouse""]",text_match,90,yes,2026-03-26 23:58:43,2026-03-27 13:16:36,
150007,963136615098577454,Magic Hidden Tree House Retreat·Private·Escape,https://a0.muscache.com/im/pictures/hosting/Hosting-963136615098577454/original/39ccd198-35c1-414e-a956-17e19f38d31b.jpeg,https://www.airbnb.com/rooms/963136615098577454,4.95,4,,Los Angeles,California,US,34.0915286,-118.2521380,"Our home is a peaceful yet centrally-located magical hidden treasure tucked in the middle of trees and lush vegetation in Elysian Heights. Quiet and private, our secret garden is filled with lounging areas where you can feel inspired to create or simply rest. From our hammock, to our cowboy tub, our day bed or vegetable garden, you will find plenty to do if you enjoy the outdoors. If you get bored, take a walk to plenty of coffee places and restaurants 10 mins away from home. The space The space has an open floor plan, It is filled with large windows that provide magic views and abundant light. It is newly built, with a fully stocked kitchen and amenities. Frame TV, Cable, Outdoor cowboy tub, hammocks, outdoor fire place, outdoor day bed and more …. Guest access You will have access to the",,,"[""treehouse""]",text_match,90,yes,2026-03-26 23:58:43,2026-03-27 13:16:36,
150008,1573655735387514311,Heavenly Tree Sanctuary & Spa : Topanga Canyon,https://a0.muscache.com/im/pictures/hosting/Hosting-1573655735387514311/original/c7d63b14-5025-40d3-9c91-5ce3f3a6cc93.jpeg,https://www.airbnb.com/rooms/1573655735387514311,5,5,,Topanga,California,US,34.1140807,-118.6214363,"⭐️Welcome to our Topanga Treehouse & Spa 🌿A newly remodeled private modern/rustic sanctuary nestled in the trees on top of the Santa Monica mountains — enjoy 2 private bedrooms (options for more beds), 2 stocked full kitchens, 2 cozy living spaces, 2 master bathrooms and a complete driveway. Relax and do yoga on the wraparound deck with 360° mountain views, hike by day, stargaze by night 🌌, and unwind with the sauna & ice bath. A new listing—see “Heavenly Tree Spa” reviews to get the vibe :) The space 🏡Both floors are private and independent of each other perfect for friends, couples, or small families. Private Driveway with gate equipped to hold 4-5 cars comfortably. 🛌Organic Latex mattress, organic cotton bed sheets and non toxic cleaning products! If you need a separate sleeping bed",,,"[""treehouse""]",text_match,90,yes,2026-03-26 23:58:43,2026-03-27 13:16:36,
150009,1192120914306438001,Quintessential Hillside MCM with stunning views!,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTE5MjEyMDkxNDMwNjQzODAwMQ%3D%3D/original/0ec7673e-2173-4f60-9eca-c66d1d15fafd.jpeg,https://www.airbnb.com/rooms/1192120914306438001,4.88,4,,Los Angeles,California,US,34.1358800,-118.3883100,"A 1954 Mid-Century post and beam treehouse with spectacular, unobstructed, jetliner views. Tucked away on a quiet street, in the hills of Studio City, very private! with wall-to-wall glass and endless views allowing the sunlight to pour in throughout the day, painted sky views over the mountains at sunset, and finally reveals the twinkling city lights at night. The house is stylish yet comfy and stocked for your arrival with a few essentials to get you going! The space I have been changing and doing upgrades to the property CONSTANTLY, so it may be even more magical than it looks in the pictures! We just did a big PLANT overhaul too! The plants really make it feel like you are in your own home. :) No steps! Only to the yard. Three beds/two baths and 2000 square feet. Of the three bedrooms,",,,"[""treehouse""]",text_match,90,yes,2026-03-26 23:58:43,2026-03-27 13:16:36,
150010,1386480515050495140,Avatar Tropical Treehouse,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTM4NjQ4MDUxNTA1MDQ5NTE0MA==/original/ff0bd0a7-22c5-484f-af48-b62f844b63aa.jpeg,https://www.airbnb.com/rooms/1386480515050495140,4.85,4,,Los Angeles County,California,US,34.0789000,-118.6005000,"Soak up groovy Topanga vibes and commune with nature in the Avatar Tropical Treehouse studio. Highlights include lush tropical landscaping, wraparound balcony, private hot tub, outdoor shower, an indoor tub with a view, an outdoor tub overlooking a creek, queen size memory foam bed, and large flat screen TV. The kitchenette is equipped with a microwave, mini fridge, small oven and stovetop, and Keurig coffee maker. Avatar can accommodate up to 2 adult guests but no children or pets. The space Avatar Tropical Treehouse is on the 1st level of a 3 tiered structure at the bottom of the property. On the 2nd and 3rd levels are two long term rental units. The Treehouse shares one ""wall"" with the unit on the 2nd level; the tenant's deck is immediately above the airbnb's living/sleeping space. Ever",,,"[""treehouse""]",text_match,90,yes,2026-03-26 23:58:43,2026-03-27 13:16:36,
150011,51236982,Oak Tree Perched Nest,https://a0.muscache.com/im/pictures/0c8cb0cb-90dd-48a1-9b63-83e32f06a5cf.jpg,https://www.airbnb.com/rooms/51236982,4.81,4,,Los Angeles,California,US,34.1357100,-118.2086500,"* Hosted by @bestnestliving * / Our Oak Tree Perched Nest property is a 3 bedroom/ 2 bath secluded & quiet residence perched atop a hill in the Eagle Rock neighborhood of Los Angeles. If you would like access to the pool house (4th bedroom) which has a bedroom and bathroom, please message us to arrange access. You will truly feel relaxed & like you've been situated in your own personal ""nest"" when you book here with us! The space This mid-century modern post & beam house is at the top of a hill in a quiet neighborhood with mountain and city views from all rooms. This is a property for the vintage & architecture enthusiast with restored original finishes. Though the kitchen has modern appliances, the design & amenities of the home feel like you stepped back into the 1960s. We are on the bor",,,"[""treehouse""]",text_match,90,yes,2026-03-26 23:58:43,2026-03-27 13:16:36,
150012,11903282,Treehouse in Vineyard Overlooking Monterey Bay,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTE5MDMyODI%3D/original/79dfa401-5496-46c4-9df1-d77f02defe7d.jpeg,https://www.airbnb.com/rooms/11903282,4.98,4,,Los Gatos,California,US,37.1131600,-121.8978200,"Built on giant Douglas Fir trees, our treehouse is located on Lago Lomita Vineyards with a view of the entire Monterey Bay. The ladder/staircase leads to a 400 sq. ft. platform with a queen bed, electricity/WiFi in a tent! There is a full bath on the bottom floor of the main house, immediately inside the French Doors. See pics! Half hour to San Jose, 15 miles to the Capitola beach, and an hour from SFO or Monterey. Also, check out our 5 star yurt listing: 19876384 The space Both our treehouse and yurt listings are unique experiences. They both are adjacent to the Tierra Madre Vineyard Block and have awesome views of the entire Monterey Bay/Pacific Ocean. We are located on 44 acres high atop the Santa Cruz Mountains but close to all the major beaches and the Silicon Valley. Please be aware ",,,"[""treehouse""]",text_match,90,yes,2026-03-26 23:58:43,2026-03-27 13:16:36,
150013,1234955693590981306,A Magical Redwood Tree Fort Retreat,https://a0.muscache.com/im/pictures/hosting/Hosting-1234955693590981306/original/bbb77176-88ac-49fc-bd3c-40b823f10f94.jpeg,https://www.airbnb.com/rooms/1234955693590981306,4.96,4,,Felton,California,US,37.0711500,-122.0909100,"A Magical Glamping Retreat in the Redwoods Escape to a dreamy Tree Fort tucked among redwoods, where rustic charm meets modern comfort. Fall asleep to crickets and a bubbling creek, then wake to birdsong and fresh mountain air. Designed for couples and solo travelers seeking a romantic, peaceful escape. Relax in the hammock or gather around the fire pit with forest views. Enjoy hassle-free glamping with electricity, a cozy bed, a private bathroom with hot water, and a kitchenette. VRP#181501 The space Our enchanting tree fort blends cozy charm with a touch of luxury. On the deck, you’ll discover illuminated stained glass windows, hand-painted doors, and soft lighting that creates a magical atmosphere among the trees. The deck features natural wood accents, a fire pit with Adirondack chairs",,,"[""treehouse""]",text_match,90,yes,2026-03-26 23:58:43,2026-03-27 13:16:36,
150014,8357,Mushroom dome retreat & Land of paradise suite,https://a0.muscache.com/im/pictures/miso/Hosting-8357/original/84c0eb81-800c-42c3-9a28-74fc147fd6ff.jpeg,https://www.airbnb.com/rooms/8357,4.89,4,,Aptos,California,US,37.0093900,-121.8854700,"March 25th - 27th just opened up. It is like summer here now! Previously known as the Mushroom Dome Cabin, (Permit number 241029) we have been listing the LAND of Paradise Suite & the Mushroom Dome Retreat with airbnb since July '09 and have had the most reservations of any of their listings. There is a reason we are so popular: the cabin is near a Redwood Grove, and at night, there is hardly any sound here - maybe crickets. It is a Paradise here: a great place to unwind & restore. The space As we are no longer allowed by Santa Cruz county to rent the Mushroom Dome Cabin by it's self, we are now listing the LAND of Paradise Suite, a room in our unique home. (LAND: Love And Nature Divine) Make a reservation for the Suite and you will have unlimited access to the Mushroom Dome Cabin, aka Ret",,,"[""treehouse""]",text_match,90,yes,2026-03-26 23:58:43,2026-03-27 13:16:36,
